,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
48,Alice Springs,0,AU,1509152400,42,-23.7,133.88,80.6,9.17
49,Hilo,90,US,1509152820,78,19.73,-155.09,73.4,3.36
50,Alice Springs,0,AU,1509152400,42,-23.7,133.88,80.6,9.17
51,Toliara,12,MG,1509153717,100,-23.35,43.67,71.05,10.63
52,Amparihy,20,MG,1509148800,88,-25.02,46.97,73.4,6.93
53,Hilo,90,US,1509152820,78,19.73,-155.09,73.4,3.36
54,Dingle,20,PH,1509153717,94,11.0,122.67,77.93,3.2
55,Subtanjalla,0,PE,1509148800,77,-14.02,-75.76,66.2,10.29
56,Hermanus,0,ZA,1509153712,81,-34.42,19.23,44.77,6.6
57,Albany,75,US,1509152040,46,42.65,-73.76,53.6,5.82
58,Avarua,12,CK,1509153537,100,-21.21,-159.78,73.93,14.43
59,Hobart,20,AU,1509152400,40,-42.88,147.33,71.6,8.05
60,Porto Santo,24,PT,1509152400,77,33.07,-16.34,71.6,2.24
61,Ribeira Grande,88,PT,1509153778,100,38.52,-28.7,64.75,12.82
62,Mathura,0,IN,1509153778,61,27.5,77.68,63.13,2.75
63,Tuorila,75,FI,1509151800,92,60.45,25.58,30.2,4.7
64,Erdenet,0,MN,1509153779,66,49.03,104.08,7.78,4.36
65,San Cristobal,40,VE,1509152400,66,7.77,-72.22,84.2,3.36
66,Esperance,0,AU,1509153780,59,-33.87,121.9,63.44,17.63
67,Horta (Angústias),88,PT,1509153780,100,38.53,-28.64,64.75,12.82
68,Sabha,0,LY,1509153780,85,27.04,14.43,51.25,2.86
69,Gornja Koprivna,36,BA,1509153781,83,45.01,15.96,42.97,3.8
70,Punta Arenas,75,CL,1509148800,93,-53.15,-70.92,44.6,10.29
71,Ushuaia,20,AR,1509148800,70,-54.8,-68.3,46.4,8.05
72,Punta Arenas,75,CL,1509148800,93,-53.15,-70.92,44.6,10.29
73,Torbay,90,CA,1509152400,93,47.67,-52.73,41.0,4.7
74,Tessalit,0,ML,1509153781,29,20.2,1.01,67.76,11.07
75,North Bend,1,US,1509152160,87,43.41,-124.22,57.2,5.82
76,Shache,56,CN,1509153782,79,38.42,77.24,34.87,5.7
77,Bluff,0,NZ,1509153707,96,-46.6,168.33,53.77,2.46
78,Mount Gambier,64,AU,1509153666,88,-37.83,140.77,59.03,4.81
79,Klaksvik,92,FO,1509151800,93,62.23,-6.59,48.2,13.87
80,Rikitea,8,PF,1509153707,100,-23.12,-134.97,72.58,7.49
81,Oktyabrskoye,36,RU,1509153783,93,43.06,44.74,37.84,2.46
82,Suhbaatar,80,MN,1509153783,66,50.23,106.21,21.41,5.82
83,Busselton,8,AU,1509153705,100,-33.65,115.33,63.94,24.94
84,Vao,0,NC,1509153784,99,-22.67,167.48,73.03,7.78
85,Aban,24,RU,1509153784,81,56.67,96.06,19.21,3.31
86,Sambava,0,MG,1509153785,100,-14.27,50.17,76.9,10.02
87,Beira,40,MZ,1509148800,83,-19.84,34.84,78.8,14.99
88,Bilibino,64,RU,1509153785,62,68.05,166.44,-8.79,2.53
89,Albany,75,US,1509152040,46,42.65,-73.76,53.6,5.82
90,Cherskiy,68,RU,1509153786,72,68.75,161.3,-2.49,2.86
91,Mayo,1,US,1509152760,62,38.89,-76.51,64.4,12.75
92,Phalaborwa,100,ZA,1509152400,26,-23.94,31.14,48.2,14.99
93,Sao Filipe,0,CV,1509153787,100,14.9,-24.5,78.83,12.93
94,Katsuura,75,JP,1509151200,77,35.13,140.3,60.8,11.41
95,Haines Junction,0,CA,1509153787,62,60.75,-137.51,36.85,10.4
96,Cape Town,0,ZA,1509152400,76,-33.93,18.42,50.0,6.93
97,Sao Joao da Barra,0,BR,1509149700,83,-21.64,-41.05,77.0,20.8
98,Tasiilaq,0,GL,1509151800,29,65.61,-37.64,48.2,20.8
99,Geraldton,75,AU,1509152400,52,-28.77,114.6,66.2,11.41
100,Aklavik,90,CA,1509153120,92,68.22,-135.01,28.4,2.24
101,Arraial do Cabo,75,BR,1509148800,88,-22.97,-42.03,75.2,13.87
102,Florida,1,US,1509153300,77,28.75,-82.5,71.6,8.9
103,Upernavik,88,GL,1509153713,100,72.79,-56.15,29.11,6.49
104,Norman Wells,90,CA,1509152400,86,65.28,-126.83,30.2,4.7
105,Garden City,90,US,1509152400,93,42.33,-83.33,42.8,10.29
106,Bengkulu,56,ID,1509153790,100,-3.8,102.27,79.24,3.69
107,Rudnik,76,RU,1509153791,92,69.75,61.65,26.5,13.82
108,Vaini,75,TO,1509152400,83,-21.2,-175.2,82.4,2.24
109,San Borja,12,BO,1509153791,73,-14.82,-66.85,81.31,2.24
110,Georgetown,0,GY,1509148800,88,6.8,-58.16,78.8,4.7
111,Mathura,0,IN,1509153778,61,27.5,77.68,63.13,2.75
112,Saint George,1,US,1509152160,12,37.1,-113.58,73.4,6.93
113,Iqaluit,90,CA,1509152400,67,63.75,-68.51,17.6,11.41
114,Yellowknife,90,CA,1509152400,93,62.46,-114.35,35.6,11.41
115,Xudat,36,AZ,1509153792,100,41.63,48.68,45.94,2.3
116,Vaini,75,TO,1509152400,83,-21.2,-175.2,82.4,2.24
117,Amparihy,20,MG,1509148800,88,-25.02,46.97,73.4,6.93
118,Ajab Shir,36,IR,1509153852,89,37.48,45.89,58.31,3.02
119,Albany,75,US,1509152040,46,42.65,-73.76,53.6,5.82
120,Fort Nelson,75,CA,1509152400,93,58.81,-122.7,39.2,5.7
121,Comrie,20,GB,1509151800,81,56.38,-3.99,50.0,14.99
122,Oyama,75,JP,1509151680,71,36.3,139.8,57.2,2.24
123,Mathura,0,IN,1509153778,61,27.5,77.68,63.13,2.75
124,Fuxin,0,CN,1509153854,64,42.02,121.66,55.16,10.51
125,Punta Arenas,75,CL,1509148800,93,-53.15,-70.92,44.6,10.29
126,Punta Arenas,75,CL,1509148800,93,-53.15,-70.92,44.6,10.29
127,Rikitea,8,PF,1509153707,100,-23.12,-134.97,72.58,7.49
128,Vaini,75,TO,1509152400,83,-21.2,-175.2,82.4,2.24
129,Barenburg,75,DE,1509151800,87,52.62,8.8,50.0,14.99
130,Rikitea,8,PF,1509153707,100,-23.12,-134.97,72.58,7.49
131,Thoen,0,TH,1509153855,95,17.61,99.22,69.29,3.24
132,Esperance,0,AU,1509153780,59,-33.87,121.9,63.44,17.63
133,Cape Town,0,ZA,1509152400,76,-33.93,18.42,50.0,6.93
134,Partizanskoye,24,RU,1509153855,69,55.5,94.39,14.98,3.2
135,Atuona,80,PF,1509153855,100,-9.8,-139.03,78.34,5.82
136,Mathura,0,IN,1509153778,61,27.5,77.68,63.13,2.75
137,Busselton,8,AU,1509153705,100,-33.65,115.33,63.94,24.94
138,Kavaratti,0,IN,1509153856,100,10.57,72.64,81.53,2.53
139,Mathura,0,IN,1509153778,61,27.5,77.68,63.13,2.75
140,Atuona,80,PF,1509153855,100,-9.8,-139.03,78.34,5.82
141,Mahebourg,75,MU,1509152400,88,-20.41,57.7,75.2,10.29
142,Zhirnovsk,48,RU,1509153857,95,50.98,44.77,37.93,7.34
143,Zhigansk,76,RU,1509153857,88,66.77,123.37,16.06,4.21
144,Kenai,1,US,1509152160,70,60.55,-151.26,46.4,24.16
145,Chah Bahar,0,IR,1509153857,100,25.29,60.64,77.21,3.58
146,Kapaa,1,US,1509152160,61,22.08,-159.32,82.4,8.05
147,Lebu,76,CL,1509153858,100,-37.62,-73.65,52.6,6.78
148,Punta Arenas,75,CL,1509148800,93,-53.15,-70.92,44.6,10.29
149,Qandala,0,SO,1509153858,100,11.47,49.87,67.99,2.98
150,Palmer,20,US,1509152160,75,42.16,-72.33,51.8,4.7
151,Ungia,75,CO,1509152400,88,8.04,-77.09,78.8,3.36
152,High Level,75,CA,1509152400,78,58.52,-117.14,35.6,4.7
153,Tsiombe,92,MG,1509153859,97,-25.3,45.48,68.62,13.04
154,Jamestown,90,US,1509152160,50,42.1,-79.24,57.2,11.41
155,Busselton,8,AU,1509153705,100,-33.65,115.33,63.94,24.94
156,Saint-Joseph,90,RE,1509152400,64,-21.37,55.62,73.4,4.7
157,Saskylakh,56,RU,1509153860,76,71.92,114.08,5.03,12.82
158,Atambua,0,ID,1509153860,88,-9.11,124.89,82.61,4.76
159,Leningradskiy,0,RU,1509153861,100,69.38,178.42,14.98,6.38
160,Kikwit,88,CD,1509153861,100,-5.04,18.82,70.78,4.32
161,Arlit,0,NE,1509153861,30,18.74,7.39,64.16,9.4
162,Thompson,90,CA,1509152400,76,55.74,-97.86,32.0,4.7
163,Huaicheng,0,CN,1509153862,88,23.91,112.19,59.8,2.46
164,Port Elizabeth,20,ZA,1509152400,81,-33.92,25.57,51.8,3.36
165,Albany,75,US,1509152040,46,42.65,-73.76,53.6,5.82
166,Comodoro Rivadavia,40,AR,1509148800,66,-45.87,-67.5,55.4,9.17
167,Maningrida,0,AU,1509153863,74,-12.07,134.27,85.49,5.37
168,Kargat,76,RU,1509153863,90,55.2,80.28,27.26,10.85
169,Punta Arenas,75,CL,1509148800,93,-53.15,-70.92,44.6,10.29
170,Hohhot,20,CN,1509148800,42,40.81,111.65,30.2,15.66
171,Riverton,1,US,1509152280,53,40.52,-111.94,55.4,4.7
172,Castro,32,BR,1509153566,91,-24.79,-50.01,64.03,12.41
173,Luderitz,0,NA,1509153864,65,-26.65,15.16,59.44,2.08
174,Ushuaia,20,AR,1509148800,70,-54.8,-68.3,46.4,8.05
175,Hamilton,90,CA,1509152400,71,43.23,-79.95,57.2,6.93
176,Ponta do Sol,0,PT,1509152400,37,32.67,-17.1,71.6,2.24
177,Sambava,0,MG,1509153785,100,-14.27,50.17,76.9,10.02
178,Auka,100,HN,1509153925,99,14.93,-83.83,73.66,2.86
179,Manaus,0,BR,1509152400,83,-3.1,-60.03,80.6,3.36
180,Amparihy,20,MG,1509148800,88,-25.02,46.97,73.4,6.93
181,Atuona,80,PF,1509153855,100,-9.8,-139.03,78.34,5.82
182,Bacolod,0,PH,1509153926,100,8.12,123.92,81.58,2.24
183,Fort Nelson,75,CA,1509152400,93,58.81,-122.7,39.2,5.7
184,Severo-Kurilsk,8,RU,1509153926,92,50.68,156.12,41.53,18.86
185,Ushuaia,20,AR,1509148800,70,-54.8,-68.3,46.4,8.05
186,Albany,75,US,1509152040,46,42.65,-73.76,53.6,5.82
187,The Valley,76,AI,1509153926,100,18.22,-63.06,80.36,18.68
188,Albany,75,US,1509152040,46,42.65,-73.76,53.6,5.82
189,Norman Wells,90,CA,1509152400,86,65.28,-126.83,30.2,4.7
190,Ushuaia,20,AR,1509148800,70,-54.8,-68.3,46.4,8.05
191,Roebourne,0,AU,1509153927,13,-20.78,117.13,83.96,11.59
192,Vaini,75,TO,1509152400,83,-21.2,-175.2,82.4,2.24
193,Horta (Angústias),88,PT,1509153780,100,38.53,-28.64,64.75,12.82
194,Qaanaaq,68,GL,1509153927,100,77.48,-69.36,14.48,5.32
195,Punta Arenas,75,CL,1509148800,93,-53.15,-70.92,44.6,10.29
196,Tsiombe,92,MG,1509153859,97,-25.3,45.48,68.62,13.04
197,Cherskiy,68,RU,1509153786,72,68.75,161.3,-2.49,2.86
198,Te Anau,0,NZ,1509153928,60,-45.42,167.72,59.62,3.58
199,Varnek,80,RU,1509153928,100,69.71,60.05,33.25,17.4
200,Kapaa,1,US,1509152160,61,22.08,-159.32,82.4,8.05
201,Avarua,12,CK,1509153537,100,-21.21,-159.78,73.93,14.43
202,Bluff,0,NZ,1509153707,96,-46.6,168.33,53.77,2.46
203,Rudnik,76,RU,1509153791,92,69.75,61.65,26.5,13.82
204,Korla,0,CN,1509153929,86,41.76,86.15,24.97,3.09
205,Kampong Tengah,75,MY,1509152400,83,1.23,111.47,80.6,3.36
206,Pevek,56,RU,1509153929,100,69.7,170.31,8.32,9.35
207,Broome,0,AU,1509152400,55,-17.97,122.23,87.8,12.75
208,Leningradskiy,0,RU,1509153861,100,69.38,178.42,14.98,6.38
209,Ushuaia,20,AR,1509148800,70,-54.8,-68.3,46.4,8.05
210,Hasaki,75,JP,1509150600,82,35.73,140.83,60.8,9.17
211,Oparau,92,NZ,1509153930,91,-38.05,174.92,62.68,7.9
212,Mount Gambier,64,AU,1509153666,88,-37.83,140.77,59.03,4.81
213,Amparihy,20,MG,1509148800,88,-25.02,46.97,73.4,6.93
214,Koupela,0,BF,1509153931,53,12.18,-0.35,70.06,4.81
215,Nouadhibou,0,MR,1509152400,36,20.93,-17.03,80.6,8.05
216,Rikitea,8,PF,1509153707,100,-23.12,-134.97,72.58,7.49
217,Codrington,76,AU,1509153932,99,-38.27,141.97,57.55,8.79
218,Coahuayana,40,MX,1509151200,88,18.73,-103.68,73.4,4.76
219,East London,92,ZA,1509153932,100,-33.02,27.91,60.97,2.46
220,Ust-Kuyga,56,RU,1509153933,68,70.02,135.6,1.66,5.37
221,Banda Aceh,48,ID,1509153933,100,5.56,95.32,73.84,1.68
222,Ushuaia,20,AR,1509148800,70,-54.8,-68.3,46.4,8.05
223,Pacific Grove,75,US,1509152820,93,36.62,-121.92,82.4,3.36
224,Albany,75,US,1509152040,46,42.65,-73.76,53.6,5.82
225,Castro,32,BR,1509153566,91,-24.79,-50.01,64.03,12.41
226,Baiyin,0,CN,1509148800,47,36.56,104.21,37.4,2.24
227,Bethel,1,US,1509152160,66,41.37,-73.41,59.0,5.82
228,Mathura,0,IN,1509153778,61,27.5,77.68,63.13,2.75
229,Ushuaia,20,AR,1509148800,70,-54.8,-68.3,46.4,8.05
230,Ahipara,88,NZ,1509153935,77,-35.17,173.17,65.92,3.76
231,Tuktoyaktuk,90,CA,1509152400,92,69.45,-133.04,28.4,9.17
232,Kungurtug,0,RU,1509153935,73,50.6,97.52,-6.9,3.53
233,Iqaluit,90,CA,1509152400,67,63.75,-68.51,17.6,11.41
234,Mana,24,GF,1509153935,75,5.66,-53.78,80.09,4.21
235,Port Elizabeth,20,ZA,1509152400,81,-33.92,25.57,51.8,3.36
236,Albany,75,US,1509152040,46,42.65,-73.76,53.6,5.82
237,Bluff,0,NZ,1509153707,96,-46.6,168.33,53.77,2.46
238,Aura,88,FI,1509151800,100,60.62,22.58,33.8,4.7
239,Avarua,12,CK,1509153537,100,-21.21,-159.78,73.93,14.43
240,Rikitea,8,PF,1509153707,100,-23.12,-134.97,72.58,7.49
241,Bulungu,88,CD,1509153996,100,-4.55,18.6,70.78,4.32
242,Lavrentiya,44,RU,1509153997,100,65.58,-171.0,33.74,18.52
243,Atbasar,92,KZ,1509153997,97,51.8,68.33,32.89,9.51
244,Borovoy,0,RU,1509150600,92,55.43,86.08,19.4,2.24
245,Micheweni,88,TZ,1509153998,98,-4.97,39.83,79.87,2.98
246,Provideniya,12,RU,1509153998,100,64.38,-173.3,31.18,17.11
247,Salalah,0,OM,1509151800,73,17.02,54.09,77.0,1.12
248,Huarmey,88,PE,1509153933,68,-10.07,-78.15,65.74,4.03
249,Bredasdorp,0,ZA,1509152400,76,-34.53,20.04,50.0,5.82
250,Hithadhoo,0,MV,1509153706,100,-0.6,73.08,82.39,4.59
251,Ancud,92,CL,1509153999,98,-41.87,-73.82,50.71,12.03
252,Fukue,100,JP,1509153711,100,32.69,128.84,71.77,22.32
253,Tuktoyaktuk,90,CA,1509152400,92,69.45,-133.04,28.4,9.17
254,Busselton,8,AU,1509153705,100,-33.65,115.33,63.94,24.94
255,Aura,88,FI,1509151800,100,60.62,22.58,33.8,4.7
256,Puerto Ayora,20,EC,1509148800,73,-0.74,-90.35,71.6,16.11
257,Tikrit,12,IQ,1509154000,57,34.61,43.68,61.6,6.04
258,Mar del Plata,90,AR,1509148800,82,-38.0,-57.56,55.4,11.41
259,Cherepanovo,12,RU,1509154000,81,54.22,83.38,22.94,8.28
260,Aklavik,90,CA,1509153120,92,68.22,-135.01,28.4,2.24
261,Kirakira,68,SB,1509154001,100,-10.45,161.92,81.31,7.83
262,Mersing,92,MY,1509154001,100,2.43,103.84,74.47,5.1
263,Mayo,1,US,1509152760,62,38.89,-76.51,64.4,12.75
264,Gallup,1,US,1509151980,17,35.53,-108.74,55.4,5.82
265,Port Elizabeth,20,ZA,1509152400,81,-33.92,25.57,51.8,3.36
266,Mahebourg,75,MU,1509152400,88,-20.41,57.7,75.2,10.29
267,Awjilah,20,LY,1509154001,92,29.11,21.29,54.89,3.87
268,Leningradskiy,0,RU,1509153861,100,69.38,178.42,14.98,6.38
269,Hasaki,75,JP,1509150600,82,35.73,140.83,60.8,9.17
270,Mathura,0,IN,1509153778,61,27.5,77.68,63.13,2.75
271,Avarua,12,CK,1509153537,100,-21.21,-159.78,73.93,14.43
272,Amparihy,20,MG,1509148800,88,-25.02,46.97,73.4,6.93
273,Chokurdakh,48,RU,1509154002,73,70.63,147.92,0.49,12.37
274,Punta Arenas,75,CL,1509148800,93,-53.15,-70.92,44.6,10.29
275,Bluff,0,NZ,1509153707,96,-46.6,168.33,53.77,2.46
276,Amparihy,20,MG,1509148800,88,-25.02,46.97,73.4,6.93
277,Horta (Angústias),88,PT,1509153780,100,38.53,-28.64,64.75,12.82
278,Lebu,76,CL,1509153858,100,-37.62,-73.65,52.6,6.78
279,Balapur,40,IN,1509152400,93,17.31,78.48,71.6,3.98
280,Upernavik,88,GL,1509153713,100,72.79,-56.15,29.11,6.49
281,New Norfolk,20,AU,1509152400,40,-42.78,147.06,71.6,8.05
282,Petropavlovsk-Kamchatskiy,0,RU,1509150600,48,53.05,158.65,42.8,11.18
283,Varnek,80,RU,1509153928,100,69.71,60.05,33.25,17.4
284,Torbay,90,CA,1509152400,93,47.67,-52.73,41.0,4.7
285,Raga,0,SS,1509154003,86,8.46,25.68,66.41,2.86
286,Ancud,92,CL,1509153999,98,-41.87,-73.82,50.71,12.03
287,Katsuura,75,JP,1509151200,77,35.13,140.3,60.8,11.41
288,Cockburn Town,48,TC,1509154004,99,21.46,-71.14,82.61,12.41
289,Guadalajara,5,MX,1509151620,35,20.67,-103.33,69.8,3.36
290,Chuy,92,UY,1509154005,99,-33.7,-53.46,62.32,17.85
291,Bayangol,0,RU,1509154005,67,50.7,103.47,-4.69,2.53
292,Hithadhoo,0,MV,1509153706,100,-0.6,73.08,82.39,4.59
293,Mathura,0,IN,1509153778,61,27.5,77.68,63.13,2.75
294,Varnek,80,RU,1509153928,100,69.71,60.05,33.25,17.4
295,Ibra,0,OM,1509154065,78,22.69,58.53,53.14,2.08
296,La Palma,1,US,1509152280,56,33.85,-118.05,84.2,4.7
297,Betanzos,0,ES,1509152400,100,43.28,-8.21,55.4,2.24
298,Ushuaia,20,AR,1509148800,70,-54.8,-68.3,46.4,8.05
299,Hamilton,90,CA,1509152400,71,43.23,-79.95,57.2,6.93
300,Waingapu,0,ID,1509154067,92,-9.66,120.26,78.79,3.69
301,Shilong,0,CN,1509150600,56,23.11,113.84,75.2,8.95
302,Tuatapere,0,NZ,1509154067,83,-46.13,167.68,56.51,2.98
303,Barrow,90,US,1509151980,85,71.29,-156.79,24.8,19.46
304,Amparihy,20,MG,1509148800,88,-25.02,46.97,73.4,6.93
305,Butaritari,0,KI,1509153708,100,3.07,172.79,83.38,9.24
306,Busselton,8,AU,1509153705,100,-33.65,115.33,63.94,24.94
307,Kapaa,1,US,1509152160,61,22.08,-159.32,82.4,8.05
308,Qaanaaq,68,GL,1509153927,100,77.48,-69.36,14.48,5.32
309,Puerto Ayora,20,EC,1509148800,73,-0.74,-90.35,71.6,16.11
310,Akaa,90,FI,1509151800,100,61.17,23.87,32.0,8.05
311,Sao Filipe,0,CV,1509153787,100,14.9,-24.5,78.83,12.93
312,Myeik,24,MM,1509154068,100,12.43,98.6,82.84,7.61
313,Pirovskoye,56,RU,1509154069,89,57.63,92.27,22.81,4.09
314,Ólafsvík,12,IS,1509154069,97,64.89,-23.71,46.75,16.67
315,Hithadhoo,0,MV,1509153706,100,-0.6,73.08,82.39,4.59
316,Yar-Sale,88,RU,1509154069,98,66.83,70.83,17.54,5.59
317,Rikitea,8,PF,1509153707,100,-23.12,-134.97,72.58,7.49
318,Namibe,24,AO,1509154070,100,-15.2,12.15,69.61,2.01
319,Faanui,80,PF,1509154070,100,-16.48,-151.75,79.6,14.76
320,Cape Town,0,ZA,1509152400,76,-33.93,18.42,50.0,6.93
321,Virginia Beach,1,US,1509152340,62,36.85,-75.98,59.0,5.82
322,Santokhgarh,0,IN,1509154070,71,31.37,76.32,52.51,2.53
323,Tuktoyaktuk,90,CA,1509152400,92,69.45,-133.04,28.4,9.17
324,Hermanus,0,ZA,1509153712,81,-34.42,19.23,44.77,6.6
325,Vestmanna,92,FO,1509151800,93,62.16,-7.17,48.2,13.87
326,Kyaikto,76,MM,1509154071,100,17.3,97.02,71.81,3.02
327,Ushuaia,20,AR,1509148800,70,-54.8,-68.3,46.4,8.05
328,Sayyan,0,YE,1509154072,61,15.17,44.32,39.68,4.59
329,Cidreira,92,BR,1509153620,100,-30.18,-50.21,64.3,7.49
330,Conchas,36,BR,1509154072,89,-23.02,-48.01,70.64,7.61
331,Yumen,0,CN,1509154072,67,40.28,97.2,19.84,7.11
332,Amparihy,20,MG,1509148800,88,-25.02,46.97,73.4,6.93
333,Bathsheba,40,BB,1509152400,88,13.22,-59.52,80.6,12.75
334,Saint-Pierre,90,RE,1509152400,64,-21.34,55.48,73.4,4.7
335,Portland,1,US,1509148560,40,45.52,-122.68,73.4,11.41
336,Komsomolskiy,20,UZ,1509148800,87,40.43,71.72,53.6,3.31
337,Ushuaia,20,AR,1509148800,70,-54.8,-68.3,46.4,8.05
338,Avarua,12,CK,1509153537,100,-21.21,-159.78,73.93,14.43
339,Rikitea,8,PF,1509153707,100,-23.12,-134.97,72.58,7.49
340,Clyde River,1,CA,1509152400,60,70.47,-68.59,6.8,6.93
341,Saldanha,0,ZA,1509152400,44,-33.01,17.94,57.2,2.24
342,Punta Arenas,75,CL,1509148800,93,-53.15,-70.92,44.6,10.29
343,Mathura,0,IN,1509153778,61,27.5,77.68,63.13,2.75
344,Barrow,90,US,1509151980,85,71.29,-156.79,24.8,19.46
345,Yingcheng,0,CN,1509148800,82,30.95,113.55,60.8,2.24
346,Horta (Angústias),88,PT,1509153780,100,38.53,-28.64,64.75,12.82
347,Starobesheve,92,UA,1509154075,98,47.75,38.03,48.68,9.4
348,Ushuaia,20,AR,1509148800,70,-54.8,-68.3,46.4,8.05
349,Kavieng,68,PG,1509154076,100,-2.57,150.8,82.21,4.09
350,Provideniya,12,RU,1509153998,100,64.38,-173.3,31.18,17.11
351,Tuktoyaktuk,90,CA,1509152400,92,69.45,-133.04,28.4,9.17
352,Teya,92,RU,1509154076,77,60.38,92.63,26.63,6.26
353,Goderich,92,CA,1509153940,97,43.75,-81.72,52.73,17.18
354,Delijan,0,IR,1509154136,61,33.99,50.68,45.94,3.02
355,Atbasar,92,KZ,1509153997,97,51.8,68.33,32.89,9.51
356,Hithadhoo,0,MV,1509153706,100,-0.6,73.08,82.39,4.59
357,Ilulissat,20,GL,1509151800,68,69.22,-51.1,26.6,9.17
358,Kodiak,1,US,1509151980,50,57.79,-152.41,51.8,7.78
359,Vila Franca do Campo,40,PT,1509152400,94,37.72,-25.43,68.0,25.28
360,Severo-Kurilsk,8,RU,1509153926,92,50.68,156.12,41.53,18.86
361,Hobart,20,AU,1509152400,40,-42.88,147.33,71.6,8.05
362,Hermanus,0,ZA,1509153712,81,-34.42,19.23,44.77,6.6
363,Haines Junction,0,CA,1509153787,62,60.75,-137.51,36.85,10.4
364,Inta,92,RU,1509154138,90,66.03,60.17,22.31,2.75
365,Thompson,90,CA,1509152400,76,55.74,-97.86,32.0,4.7
366,Dannenberg,75,DE,1509150000,81,53.1,11.09,48.2,13.87
367,Walvis Bay,0,NA,1509154138,100,-22.96,14.51,55.93,3.24
368,Pevek,56,RU,1509153929,100,69.7,170.31,8.32,9.35
369,Puerto Ayora,20,EC,1509148800,73,-0.74,-90.35,71.6,16.11
370,Rikitea,8,PF,1509153707,100,-23.12,-134.97,72.58,7.49
371,Kribi,68,CM,1509154139,100,2.95,9.92,73.61,4.09
372,Jamestown,90,US,1509152160,50,42.1,-79.24,57.2,11.41
